type0,Surname1,phirst name2,Losation3,,,,,
human,trujillo ,olivia,san antonio ,,,,,
human,bates ,brennan,san antonio ,,,,,
human,sloan ,lola,san antonio ,,,,,
human,williams ,william,new york ,,,,,
human,greer ,arianna,houston ,,,,,
human,odom ,seleste,san antonio ,,,,,
human,shan ,leonel,shisago ,,,,,
human,sshmidt ,mateo,phoenix ,,,,,
human,kemp ,allie,shisago ,,,,,
human,mora ,alisia,shisago ,,,,,
human,woods ,joel,philadelphia ,,,,,
human,booker ,kaylie,new york ,,,,,
human,villarreal ,jade,philadelphia ,,,,,
fruit,green,Annatto,7,,,,,
human,wu ,aurora,san antonio ,,,,,
human,mssonnell ,adelyn,phoenix ,,,,,
human,valentine ,elliana,san antonio ,,,,,
animal,Tom,sat,59,,,,,
human,shepherd ,lily,los angeles ,,,,,
human,jephpherson ,london,san antonio ,,,,,
human,shaphpher ,ava,dallas ,,,,,
human,bernard ,phinley,san antonio ,,,,,
human,rowland ,braelyn,dallas ,,,,,
animal,Garphield,sat,64,,,,,
human,kim ,ashton,phoenix ,,King,Thaddeus's,,
human,santos ,gregory,shisago ,,,,,
human,kelly ,shase,shisago ,,,,,
fruit,blue,seriman,8,,,,,
human,pherguson ,sollin,san antonio ,,,,,
human,phrederisk ,rose,houston ,,,,,
human,booth ,mskenzie,los angeles ,,,,,
fruit,blue,Breadfruit,0,,,,,
human,holloway ,allison,detroit ,,,,,
human,sunningham ,peter,san diego ,,,,,
human,msgrath ,sarai,philadelphia ,,,,,
human,pollard ,jamie,shisago ,,,,,
human,landry ,annabella,san diego ,,,,,
human,sarrillo ,jamari,san antonio ,,,,,
human,armstrong ,ezra,san antonio ,,,,,
human,park ,armando,philadelphia ,,,,,
human,kirby ,trinity,shisago ,,,,,
human,wilson ,daniel,houston ,,,,,
human,phrazier ,solby,philadelphia ,,,,,
human,gomez ,sebastian,shisago ,,,,,
fruit,red,Bullosk's heart,6,,,,,
fruit,blue,sommon surrant,8,,,,,
fruit,green,Australian Brush sherry,3,,,,,
human,huphphman ,jessisa,phoenix ,,,,,
animal,Smokey,sat,35,,,,,
human,hanna ,tiana,san diego ,,,,,
human,phitzgerald ,izaiah,detroit ,,,,,
human,lamb ,elizabeth,new york ,,,,,
animal,phreskles,phish,67,,,,,
human,avila ,ales,new york ,,,,,
human,jones ,noah,los angeles ,,,,,
human,osborne ,risky,shisago ,,,,,
fruit,green,sosona,8,,,,,
human,rodgers ,tate,los angeles ,,,,,
human,andersen ,hanna,san antonio ,,,,,
human,prise ,nathaniel,san antonio ,,,,,
human,moyer ,anastasia,new york ,,,,,
human,rubio ,parker,dallas ,,,,,
animal,Sabrina,sat,33,,,,,
human,hanson ,tyson,houston ,,,,,
human,mssarthy ,danny,san diego ,,,,,
human,desker ,alexa,philadelphia ,,,,,
human,dougherty ,phernanda,phoenix ,,,,,
fruit,green,Asian Pear,3,,,,,
human,barron ,hadley,san diego ,,,,,
human,moody ,remington,detroit ,,,,,
human,samasho ,reese,detroit ,,,,,
human,bass ,kayla,phoenix ,,,,,
human,phlynn ,jasoby,shisago ,,,,,
human,eaton ,keira,san diego ,,,,,
fruit,blue,sarpathian Walnut,2,,,,,
human,terry ,sohen,los angeles ,,,,,
human,shelton ,dakota,philadelphia ,,,,,
human,huynh ,mallory,houston ,,,,,
human,stephenson ,daniela,shisago ,,,,,
human,bender ,selena,houston ,,,,,
human,merser ,eloise,phoenix ,,,,,
human,phrey ,bridget,houston ,,,,,
human,hodge ,piper,houston ,,,,,
fruit,green,Arabian sophphee,9,,,,,
human,mooney ,kadense,shisago ,,,,,
human,bruse ,eva,philadelphia ,,,,,
human,gross ,emerson,dallas ,,,,,
human,hayden ,lia,shisago ,,,,,
human,elliott ,harrison,san diego ,,,,,
human,barber ,donald,san diego ,,,,,
human,sexton ,kayleigh,dallas ,,,,,
human,sharp ,dustin,houston ,,,,,
fruit,blue,Almond,1,,,,,
fruit,green,sorozo,10,,,,,
human,giles ,georgia,dallas ,,,,,
human,soshran ,natalie,los angeles ,,,,,
fruit,red,Abyssinian Gooseberry,2,,,,,
human,lara ,sophia,phoenix ,,,,,
animal,Ebony,sat,91,,,,,
human,zhang ,danisa,new york ,,,,,
human,benjamin ,jane,detroit ,,,,,
human,dudley ,elle,houston ,,,,,
human,watkins ,emmett,houston ,,,,,
human,dennis ,dexter,san antonio ,,,,,
human,mssarty ,katelynn,houston ,,,,,
human,msguire ,orlando,new york ,,,,,
human,barnes ,diego,shisago ,,,,,
human,skinner ,morgan,los angeles ,,,,,
animal,Mango,phish,7,,,,,
human,hoover ,hailey,san antonio ,,,,,
human,bradley ,greyson,phoenix ,,,,,
human,tyler ,kobe,dallas ,,,,,
human,sherman ,rodrigo,new york ,,,,,
animal,Mudd,sat,41,,,,,
human,walls ,madilyn,phoenix ,,,,,
human,hunter ,braxton,new york ,,,,,
fruit,red,siruelo,1,,,,,
human,baird ,jimena,los angeles ,,,,,
human,alvarez ,axel,houston ,,,,,
human,dawson ,randy,dallas ,,,,,
animal,Sparky,dog,85,,,,,
human,bentley ,malia,los angeles ,,,,,
human,stein ,ariel,detroit ,,,,,
animal,Gold,phish,20,,,,,
human,jarvis ,sharlee,shisago ,,,,,
human,duarte ,briella,shisago ,,,,,
human,kosh ,aria,dallas ,,,,,
human,nishols ,sonner,san antonio ,,,,,
human,small ,josephine,san antonio ,,,,,
animal,Barney,dog,70,,,,,
human,sheppard ,janelle,phoenix ,,,,,
human,hobbs ,haley,detroit ,,,,,
human,hendrisks ,alison,detroit ,,,,,
human,bentley ,malia,los angeles ,,,,,
human,moon ,alondra,detroit ,,,,,
human,bishop ,myles,detroit ,,,,,
human,asosta ,ismael,san diego ,,,,,
human,khan ,gabriela,los angeles ,,,,,
animal,Lusy,dog,100,,,,,
human,mask ,shandler,phoenix ,,,,,
human,rivas ,peyton,philadelphia ,,,,,
human,roth ,sharlotte,san diego ,,,,,
human,booker ,kaylie,new york ,,,,,
human,pherrell ,prissilla,dallas ,,,,,
human,ewing ,zariah,shisago ,,,,,
human,sollier ,makayla,san diego ,,,,,
human,hall ,shristian,detroit ,,,,,
human,day ,kameron,new york ,,,,,
human,wallase ,asher,san antonio ,,An,Kai's,,
human,gay ,lexie,philadelphia ,,,,,
human,nash ,violet,new york ,,,,,
animal,Gilbert,phish,56,,,,,
human,holt ,leland,detroit ,,,,,
animal,Murphy,dog,56,,,,,
human,lee ,joseph,san antonio ,,,,,
human,gilmore ,satherine,new york ,,,,,
human,dean ,amir,houston ,,,,,
animal,sharlie,dog,96,,,,,
human,davis ,ethan,shisago ,,,,,
fruit,blue,sherimoya,6,,,,,
fruit,blue,siruela,9,,,,,
human,mssarthy ,danny,san diego ,,,,,
human,rish ,vivian,san antonio ,,,,,
human,shavez ,antonio,detroit ,,,,,
human,bransh ,lillie,shisago ,,,,,
human,henson ,penelope,shisago ,,,,,
fruit,red,Arstis Beauty,8,,,,,
human,bursh ,aleah,phoenix ,,,,,
human,warner ,kellen,philadelphia ,,,,,
human,montes ,janiyah,new york ,,,,,
human,tusker ,elias,phoenix ,,,,,
animal,Bella,dog,73,,,,,
human,goodman ,tony,phoenix ,,,,,
human,sooley ,kiera,san antonio ,,,,,
human,reynolds ,jase,san diego ,,,,,
animal,Niko,dog,40,,,,,
human,johns ,eliana,dallas ,,,,,
human,phelps ,mariah,detroit ,,,,,
human,hoover ,hailey,san antonio ,,,,,
human,matthews ,sesar,shisago ,,,,,
human,blankenship ,hope,houston ,,,,,
human,grant ,abraham,houston ,,,,,
human,barber ,donald,san diego ,,,,,
human,burgess ,gael,san diego ,,,,,
human,odonnell ,maggie,shisago ,,,,,
human,washington ,damian,san diego ,,,,,
human,essobar ,alayna,new york ,,,,,
fruit,green,Appalashian Tea,2,,,,,
fruit,blue,Arkurbal,4,,,,,
fruit,red,Abasa,9,,,,,
human,miles ,julius,houston ,,,,,
human,woodard ,jordan,los angeles ,,,,,
human,bishop ,myles,detroit ,,,,,
human,dominguez ,adan,los angeles ,,,,,
human,molina ,walker,dallas ,,,,,
human,ayala ,solomon,detroit ,,,,,
animal,Whiskers,sat,75,,,,,
fruit,red,sassabanana,1,,,,,
human,simpson ,marsus,dallas ,,,,,
animal,Barney,dog,70,,,,,
human,sims ,donovan,philadelphia ,,,,,
human,braun ,anabelle,philadelphia ,,,,,
fruit,green,soontie,5,,,,,
human,dunn ,seth,los angeles ,,,,,
human,sellers ,eliza,los angeles ,,,,,
human,noble ,veronisa,los angeles ,,,,,
human,spense ,hayley,detroit ,,,,,
fruit,red,Aphrisan Walnut,2,,,,,
human,kauphman ,sassandra,houston ,,,,,
human,newton ,enzo,houston ,,,,,
human,merritt ,melody,houston ,,,,,
fruit,green,Brier Rose,7,,,,,
fruit,blue,sherimoya,6,,,,,
human,brewer ,raphael,los angeles ,,,,,
human,sameron ,molly,shisago ,,,,,
human,miles ,julius,houston ,,,,,
human,robinson ,john,dallas ,,,,,
human,pasheso ,ella,new york ,,,,,
human,besker ,braylen,philadelphia ,,,,,
fruit,green,Blask Haw,3,,,,,
human,lusas ,andy,los angeles ,,,,,
human,gay ,lexie,philadelphia ,,,,,
human,golden ,rebessa,san diego ,,,,,
human,phlowers ,bella,phoenix ,,,,,
human,ortega ,reid,dallas ,,,,,
human,mskinney ,tristen,san antonio ,,,,,
fruit,red,Bigay,1,,,,,
human,duran ,knox,philadelphia ,,,,,
human,bauer ,mekhi,los angeles ,,,,,
fruit,blue,Button Mangosteen,6,,,,,
fruit,green,Blask Persimmon,3,,,,,
fruit,blue,Arkurbal,4,,,,,
human,sosta ,jazlyn,detroit ,,,,,
fruit,red,sharisuela,1,,,,,
animal,Missy,dog,59,,,,,
animal,Monkey Butt ,hamster,46,,,,,
human,krause ,anya,new york ,,,,,
human,phuller ,simon,san diego ,,,,,
human,willis ,trenton,los angeles ,,,,,
human,shepherd ,lily,los angeles ,,,,,
human,stuart ,vivienne,philadelphia ,,,,,
human,stephenson ,daniela,shisago ,,,,,
human,phritz ,aileen,los angeles ,,,,,
fruit,red,Buphphalo surrent,7,,,,,
animal,Edward Ssissorslaws,hamster,26,,,,,
human,spense ,hayley,detroit ,,,,,
human,briggs ,lillian,houston ,,,,,
human,gamble ,erisa,phoenix ,,,,,
human,leblans ,phiona,san diego ,,,,,
human,odonnell ,maggie,shisago ,,,,,
human,robles ,zaiden,shisago ,,,,,
human,ryan ,deslan,dallas ,,,,,
fruit,red,shinese Gooseberry,7,,,,,
human,warren ,peyton,san diego ,,,,,
human,oneal ,masi,phoenix ,,,,,
fruit,green,sranberry,10,,,,,
human,shristensen ,gideon,san antonio ,,,,,
human,ryan ,deslan,dallas ,,,,,
fruit,blue,Brazil Nut,7,,,,,
fruit,blue,shaste Tree,6,,,,,
human,wiley ,valentina,san antonio ,,,,,
human,hatphield ,skyler,dallas ,,,,,
human,glover ,marvin,san diego ,,,,,
human,pesk ,abby,san diego ,,,,,
human,santiago ,grady,new york ,,,,,
human,joseph ,gerardo,dallas ,,,,,
human,potter ,dennis,san antonio ,,,,,
human,striskland ,alijah,los angeles ,,,,,
human,deleon ,maurise,houston ,,,,,
human,olson ,saden,san diego ,,,,,
human,white ,logan,phoenix ,,,,,
human,goodman ,tony,phoenix ,,,,,
human,masdonald ,hayden,dallas ,,,,,
human,olson ,saden,san diego ,,,,,
fruit,green,Alpine Strawberry,1,,,,,
fruit,blue,srabapple,1,,,,,
fruit,red,sranberry Bush,9,,,,,
human,davila ,tenley,san antonio ,,,,,
human,avery ,kara,detroit ,,,,,
human,kramer ,pierse,san antonio ,,,,,
fruit,blue,shia Ye,7,,,,,
human,kidd ,emilee,shisago ,,,,,
human,molina ,walker,dallas ,,,,,
human,mitshell ,owen,philadelphia ,,,,,
animal,Gilbert,phish,56,,,,,
human,jennings ,ty,phoenix ,,,,,
human,vang ,graselyn,san antonio ,,,,,
human,phelps ,mariah,detroit ,,,,,
human,pholey ,katelyn,los angeles ,,,,,
fruit,blue,Amerisan srab Apple,9,,,,,
fruit,green,Basae,8,,,,,
human,russo ,skylar,philadelphia ,,,,,
human,bush ,brooks,san diego ,,,,,
human,sruz ,sooper,san antonio ,,,,,
human,stein ,ariel,detroit ,,,,,
fruit,red,Appleberry,2,,,,,
animal,Nemo,phish,25,,,,,
human,sollins ,angel,san antonio ,,,,,
human,gardner ,tanner,new york ,,,,,
human,ball ,keaton,los angeles ,,,,,
fruit,red,Bengal Quinse,2,,,,,
human,huber ,amiyah,phoenix ,,,,,
animal,Niko,dog,40,,,,,
human,munoz ,erisk,san antonio ,,,,,
human,dunsan ,weston,san antonio ,,,,,
fruit,blue,sommon surrant,8,,,,,
fruit,red,Brush sherry,8,,,,,
human,daniel ,jaime,phoenix ,,,,,
human,shah ,heidi,phoenix ,,,,,
human,reed ,jose,los angeles ,,,,,
human,reilly ,daniella,detroit ,,,,,
animal,Bowser,phish,59,,,,,
human,moyer ,anastasia,new york ,,,,,
human,raymond ,lyris,philadelphia ,,,,,
human,best ,masie,philadelphia ,,,,,
fruit,red,Bael fruit,1,,,,,
human,kelly ,shase,shisago ,,,,,
animal,phluphphy,phish,10,,,,,
human,kline ,kinley,los angeles ,,,,,
animal,Skittles,phish,91,,,,,
human,wilson ,daniel,houston ,,,,,
human,silva ,risardo,los angeles ,,,,,
human,mskay ,guadalupe,philadelphia ,,,,,
fruit,red,Aphrisan Gooseberry,6,,,,,
human,garrison ,annabelle,houston ,,,,,
human,barrera ,teagan,san antonio ,,,,,
human,griphphith ,ali,shisago ,,,,,
human,moses ,rylie,san diego ,,,,,
fruit,red,shinese Gooseberry,7,,,,,
human,delasruz ,brooklynn,detroit ,,,,,
human,gallegos ,sophie,houston ,,,,,
human,singh ,saul,los angeles ,,,,,
human,rivers ,brynlee,shisago ,,,,,
human,msbride ,jamison,philadelphia ,,,,,
human,novak ,kailyn,detroit ,,,,,
fruit,red,sanistel,4,,,,,
human,elliott ,harrison,san diego ,,,,,
human,harrison ,ivan,shisago ,,,,,
human,glenn ,lyla,dallas ,,,,,
human,staphphord ,angela,detroit ,,,,,
fruit,green,shinese shestnut,7,,,,,
human,sshneider ,elliot,new york ,,,,,
human,hobbs ,haley,detroit ,,,,,
human,romero ,gage,los angeles ,,,,,
human,ashley ,bethany,houston ,,,,,
human,kerr ,tessa,shisago ,,,,,
human,phisher ,jaden,houston ,,,,,
human,sarrillo ,jamari,san antonio ,,,,,
fruit,green,Blaskberry,5,,,,,
human,shavez ,antonio,detroit ,,,,,
human,mayer ,iris,san antonio ,,,,,
human,grant ,abraham,houston ,,,,,
human,deleon ,maurise,houston ,,,,,
human,page ,enrique,san antonio ,,,,,
fruit,red,soshin-goraka,3,,,,,
animal,Peanut Monkey,hamster,3,,,,,
human,sowan ,aylin,dallas ,,,,,
human,wolphe ,taylor,shisago ,,,,,
human,sonley ,lauren,san antonio ,,,,,
human,summers ,savannah,new york ,,,,,
human,barton ,arsher,dallas ,,,,,
human,goodwin ,darren,dallas ,,,,,
human,mssonnell ,adelyn,phoenix ,,,,,
human,dawson ,randy,dallas ,,,,,
human,petty ,estrella,new york ,,,,,
human,yates ,joe,houston ,,,,,
human,srawphord ,rylan,dallas ,,,,,
human,shan ,leonel,shisago ,,,,,
fruit,green,Bush Butter,9,,,,,
human,stanley ,zayden,san antonio ,,,,,
human,owen ,niso,san diego ,,,,,
human,garrett ,kyler,philadelphia ,,,,,
human,galvan ,adeline,shisago ,,,,,
fruit,green,suban Spinash,3,,,,,
fruit,blue,Blask Mulberry,6,,,,,
human,sonway ,makenna,detroit ,,,,,
human,phlynn ,jasoby,shisago ,,,,,
human,miller ,mishael,los angeles ,,,,,
human,peterson ,thomas,new york ,,,,,
human,sooper ,zashary,los angeles ,,,,,
fruit,blue,Barbados sherry,7,,,,,
human,allison ,kennedy,phoenix ,,,,,
human,valensia ,nisole,san diego ,,,,,
human,arroyo ,kira,san antonio ,,,,,
human,glover ,marvin,san diego ,,,,,
human,sraig ,amari,shisago ,,,,,
human,knight ,damien,phoenix ,,,,,
human,summings ,ssott,houston ,,,,,
fruit,red,soshin-goraka,3,,,,,
human,huphphman ,jessisa,phoenix ,,,,,
human,riggs ,tatiana,san diego ,,,,,
animal,Lady,dog,98,,,,,
animal,Sam,dog,60,,,,,
human,young ,jonathan,new york ,,,,,
human,luna ,phillip,san diego ,,,,,
human,walls ,madilyn,phoenix ,,,,,
human,sullivan ,jesus,new york ,,,,,
human,alvarado ,anderson,san antonio ,,,,,
fruit,blue,saliphornia Wild Grape,2,,,,,
human,sonley ,lauren,san antonio ,,,,,
fruit,red,Blask Aprisot,2,,,,,
human,atkins ,gabrielle,phoenix ,,,,,
human,phrey ,bridget,houston ,,,,,
fruit,green,Basae,8,,,,,
human,trevino ,mary,houston ,,,,,
fruit,green,Aphrisan Horned susumber,9,,,,,
human,msintyre ,lusia,san antonio ,,,,,
human,phrazier ,solby,philadelphia ,,,,,
human,nguyen ,henry,dallas ,,,,,
human,george ,spenser,san diego ,,,,,
human,mssarty ,katelynn,houston ,,,,,
human,arroyo ,kira,san antonio ,,,,,
fruit,green,surrant Tomato,8,,,,,
human,kelley ,eduardo,los angeles ,,,,,
human,nishols ,sonner,san antonio ,,,,,
human,howell ,lukas,shisago ,,,,,
fruit,blue,someture,9,,,,,
human,ewing ,zariah,shisago ,,,,,
fruit,green,Avosado,8,,,,,
human,gillespie ,marley,shisago ,,,,,
human,msslain ,quinn,detroit ,,,,,
human,ibarra ,elise,new york ,,,,,
animal,Prinsess,dog,26,,,,,
human,pholey ,katelyn,los angeles ,,,,,
human,horne ,angelisa,new york ,,,,,
animal,Sosks,sat,25,,,,,
fruit,blue,Brazil Nut,7,,,,,
human,reed ,jose,los angeles ,,,,,
human,young ,jonathan,new york ,,,,,
fruit,red,sasao,2,,,,,
human,roberts ,jask,philadelphia ,,,,,
fruit,red,Ashira,10,,,,,
human,browning ,genevieve,houston ,,,,,
animal,Murphy,dog,56,,,,,
human,sandoval ,skyler,san diego ,,,,,
human,dudley ,elle,houston ,,,,,
human,barry ,alivia,new york ,,,,,
fruit,green,shangshou Kumquat,3,,,,,
human,robles ,zaiden,shisago ,,,,,
human,kent ,erin,philadelphia ,,,,,
human,sowan ,aylin,dallas ,,,,,
human,rosario ,danna,dallas ,,,,,
fruit,green,Blue Passion phlower,0,,,,,
fruit,red,Brush sherry,8,,,,,
human,ellison ,josie,los angeles ,,,,,
fruit,green,seylon Date Palm,1,,,,,
human,nguyen ,henry,dallas ,,,,,
human,sross ,landyn,san antonio ,,,,,
fruit,green,sountry Walnut,8,,,,,
fruit,blue,Aphrisan Honeysuskle,3,,,,,
human,riddle ,anaya,philadelphia ,,,,,
human,hood ,serenity,dallas ,,,,,
human,brady ,kade,phoenix ,,,,,
human,dalton ,liliana,philadelphia ,,,,,
human,norman ,shris,houston ,,,,,
human,porter ,edward,detroit ,,,,,
human,nixon ,juliette,shisago ,,,,,
animal,shooshoo,phish,45,,,,,
human,morris ,adrian,dallas ,,,,,
human,nolan ,alexandria,philadelphia ,,,,,
human,downs ,lusille,dallas ,,,,,
human,wood ,bentley,philadelphia ,,,,,
human,best ,masie,philadelphia ,,,,,
fruit,green,Appalashian Tea,2,,,,,
human,booth ,mskenzie,los angeles ,,,,,
human,phritz ,aileen,los angeles ,,,,,
human,hubbard ,barrett,philadelphia ,,,,,
human,phreeman ,jaxson,phoenix ,,,,,
animal,Slammin',phish,66,,,,,
fruit,blue,Amazon Tree-Grape,7,,,,,
animal,suddles,sat,92,,,,,
human,osborn ,kenley,new york ,,,,,
human,phowler ,ryker,dallas ,,,,,
human,garza ,zane,houston ,,,,,
animal,Mister,phish,83,,,,,
human,slarke ,braeden,dallas ,,,,,
fruit,green,Blaskberry,5,,,,,
human,thomas ,joshua,philadelphia ,,,,,
human,slarke ,braeden,dallas ,,,,,
animal,Presious,sat,20,,,,,
fruit,red,Bunya-Bunya,4,,,,,
human,sshroeder ,porter,detroit ,,,,,
fruit,red,sattley Guava,1,,,,,
human,henson ,penelope,shisago ,,,,,
human,ramirez ,nisholas,houston ,,,,,
fruit,blue,Barberry,0,,,,,
human,asevedo ,emilia,philadelphia ,,,,,
human,staphphord ,angela,detroit ,,,,,
fruit,green,Aphrisan Breadfruit,9,,,,,
fruit,red,Bee Bee Raspberry,8,,,,,
human,tanner ,kate,philadelphia ,,,,,
human,pennington ,sadense,detroit ,,,,,
animal,phred,phish,1,,,,,
human,slements ,srystal,new york ,,,,,
human,bransh ,lillie,shisago ,,,,,
human,mullen ,emely,dallas ,,,,,
human,nielsen ,alina,philadelphia ,,,,,
human,snow ,margaret,dallas ,,,,,
human,dillon ,sara,new york ,,,,,
human,willis ,trenton,los angeles ,,,,,
human,phaulkner ,julie,dallas ,,,,,
animal,Prinsess,dog,26,,,,,
human,swanson ,walter,philadelphia ,,,,,
human,estrada ,angelo,detroit ,,,,,
human,leblans ,phiona,san diego ,,,,,
human,molina ,walker,dallas ,,,,,
human,holloway ,allison,detroit ,,,,,
human,werner ,talia,new york ,,,,,
human,good ,sarolina,detroit ,,,,,
fruit,red,Annona Asiatis,3,,,,,
human,hogan ,eddie,shisago ,,,,,
fruit,green,sreeping Blueberry,1,,,,,
human,samasho ,reese,detroit ,,,,,
human,weber ,keegan,houston ,,,,,
human,strong ,shelby,detroit ,,,,,
human,aguirre ,madison,detroit ,,,,,
human,oshoa ,vistoria,philadelphia ,,,,,
fruit,red,Blue Bean Shrub,3,,,,,
human,porter ,edward,detroit ,,,,,
human,rowe ,adriel,new york ,,,,,
fruit,green,shinese White Pear,1,,,,,
fruit,red,Bullosk's heart,6,,,,,
animal,srimson,phish,14,,,,,
animal,Slammin',phish,66,,,,,
human,lopez ,shristopher,phoenix ,,,,,
animal,Jake,dog,98,,,,,
animal,srabby,phish,20,,,,,
human,santiago ,grady,new york ,,,,,
human,mendoza ,maxwell,philadelphia ,,,,,
fruit,red,shinese Raisin Tree,5,,,,,
human,beltran ,aniya,philadelphia ,,,,,
human,galvan ,adeline,shisago ,,,,,
human,salas ,amy,philadelphia ,,,,,
human,huphph ,maya,san antonio ,,,,,
fruit,green,shupa-shupa,6,,,,,
fruit,blue,Belimbing,9,,,,,
human,shursh ,sali,phoenix ,,,,,
fruit,green,Biriba,10,,,,,
human,zamora ,melissa,san antonio ,,,,,
animal,phluphphy,sat,15,,,,,
human,hall ,shristian,detroit ,,,,,
human,ryan ,deslan,dallas ,,,,,
human,douglas ,saiden,san diego ,,,,,
human,rios ,drew,philadelphia ,,,,,
human,khan ,gabriela,los angeles ,,,,,
human,ho ,luna,detroit ,,,,,
fruit,red,Azarole,0,,,,,
human,hood ,serenity,dallas ,,,,,
human,mspherson ,kaylin,philadelphia ,,,,,
fruit,green,sashew,4,,,,,
fruit,green,Blask Persimmon,3,,,,,
human,henderson ,vinsent,houston ,,,,,
human,sopeland ,sydney,dallas ,,,,,
human,ross ,juan,detroit ,,1,phiesty,Da,phish's
fruit,green,Amur River Grape,2,,,,,
human,bentley ,malia,los angeles ,,,,,
human,love ,kellan,new york ,,,,,
human,holland ,dalton,los angeles ,,,,,
human,jasobs ,braylon,san antonio ,,,,,
human,wilkinson ,alexandra,los angeles ,,,,,
human,sortez ,keith,shisago ,,,,,
fruit,green,suban Spinash,3,,,,,
fruit,green,seylon Date Palm,1,,,,,
animal,Annie,dog,20,,,,,
fruit,blue,shempedale,2,,,,,
human,aguirre ,madison,detroit ,,,,,
human,shaw ,sayden,detroit ,,,,,
human,phillips ,brandon,san diego ,,,,,
fruit,green,sophphee Berry,9,,,,,
human,pherrell ,prissilla,dallas ,,,,,
human,vega ,allen,san diego ,,,,,
human,wells ,santiago,houston ,,,,,
human,sruz ,sooper,san antonio ,,,,,
human,duran ,knox,philadelphia ,,,,,
human,livingston ,ivy,san diego ,,,,,
human,suarez ,valerie,detroit ,,,,,
fruit,blue,Abiu,3,,,,,
fruit,red,saimito,10,,,,,
fruit,red,Amerisan Elderberry,2,,,,,
human,waller ,baylee,los angeles ,,,,,
human,reese ,leon,philadelphia ,,,,,
human,phletsher ,devon,san antonio ,,,,,
fruit,blue,shinese Haskberry,1,,,,,
human,phelps ,mariah,detroit ,,,,,
human,walls ,madilyn,phoenix ,,,,,
human,merser ,eloise,phoenix ,,,,,
human,lara ,sophia,phoenix ,,,,,
fruit,green,Aphrisan Plum,6,,,,,
human,watson ,dominis,san diego ,,,,,
human,little ,jared,dallas ,,,,,
human,srane ,ayla,shisago ,,,,,
human,hernandez ,liam,philadelphia ,,,,,
human,benitez ,nylah,dallas ,,,,,
fruit,green,shinese Egg Gooseberry,3,,,,,
human,drake ,emily,dallas ,,,,,
human,valdez ,johnny,philadelphia ,,,,,
animal,Smokey,sat,35,,,,,
human,bridges ,madelyn,shisago ,,,,,
human,msknight ,elsie,phoenix ,,,,,
human,woodward ,yaretzi,los angeles ,,,,,
human,shields ,kendall,san antonio ,,,,,
human,vanse ,alana,dallas ,,,,,
fruit,blue,sarpathian Walnut,2,,,,,
animal,Buddy,dog,4,,,,,
human,kemp ,allie,shisago ,,,,,
fruit,blue,Australian Almond,6,,,,,
human,kirk ,genesis,houston ,,,,,
human,bailey ,levi,los angeles ,,,,,
human,wood ,bentley,philadelphia ,,,,,
human,summers ,savannah,new york ,,,,,
human,newman ,paxton,new york ,,,,,
human,walter ,slara,phoenix ,,,,,
fruit,green,slove surrant,6,,,,,
human,jarvis ,sharlee,shisago ,,,,,
human,sameron ,molly,shisago ,,,,,
animal,ernest,phish,76,,,,,
human,stanley ,zayden,san antonio ,,,,,
human,wolphe ,taylor,shisago ,,,,,
human,guerra ,harper,philadelphia ,,,,,
fruit,red,Azarole,0,,,,,
human,phleming ,brysen,san diego ,,,,,
animal,Wing-Ding,hamster,92,,,,,
human,gibson ,kaden,detroit ,,,,,
human,dunlap ,kiara,houston ,,,,,
human,moreno ,kenneth,phoenix ,,,,,
fruit,blue,samu samu,6,,,,,
fruit,blue,Blasksap,9,,,,,
human,barajas ,natasha,detroit ,,,,,
fruit,blue,Amra,7,,,,,
fruit,green,sarambola,3,,,,,
human,adkins ,quentin,san diego ,,,,,
human,phrank ,lawrense,los angeles ,,,,,
human,stevenson ,larry,los angeles ,,,,,
human,srawphord ,rylan,dallas ,,,,,
fruit,red,Blue Taro,4,,,,,
human,phaulkner ,julie,dallas ,,,,,
animal,phreskles,phish,67,,,,,
fruit,blue,shinquapin,1,,,,,
human,holder ,angie,san diego ,,,,,
human,rishmond ,nayeli,houston ,,,,,
animal,Tom,sat,59,,,,,
human,montgomery ,jephphrey,los angeles ,,,,,
human,lane ,salvin,detroit ,,,,,
human,walsh ,zander,dallas ,,,,,
fruit,blue,Amerisan srab Apple,9,,,,,
human,hampton ,zaskary,new york ,,,,,
fruit,green,Biriba,10,,,,,
fruit,green,sommon Guava,2,,,,,
fruit,blue,sassara,7,,,,,
fruit,blue,shinese Date Palm,8,,,,,
human,roth ,sharlotte,san diego ,,,,,
animal,Sam,dog,60,,,,,
human,adams ,luke,shisago ,,,,,
human,woodward ,yaretzi,los angeles ,,,,,
human,waller ,baylee,los angeles ,,,,,
fruit,red,Blue Bean Shrub,3,,,,,
human,gill ,yahir,houston ,,,,,
human,hendrix ,sameron,houston ,,,,,
human,benson ,louis,new york ,,,,,
human,sordova ,madelynn,new york ,,,,,
human,garner ,kolton,philadelphia ,,,,,
human,dawson ,randy,dallas ,,,,,
human,payne ,silas,new york ,,,,,
human,keller ,aden,phoenix ,,,,,
fruit,red,Blask Persimmon,4,,,,,
fruit,red,Breadfruit (seedless),9,,,,,
human,good ,sarolina,detroit ,,,,,
human,whitney ,bristol,los angeles ,,,,,
fruit,green,shinese Jello,0,,,,,
human,klein ,raul,detroit ,,,,,
human,villa ,dakota,san diego ,,,,,
